"date" "title" "viewCount" "likeCount" "dislikeCount" "commentCount"
"1" 2016-01-18 "The Key to Abundance and Success: Lisa Nichols and Lewis Howes" 557917 12061 364 726
"2" 2016-01-20 "Daymond John on The Power of Broke - with Lewis Howes" 359696 6104 162 435
"3" 2016-02-03 "How To Create SEXUAL DESIRE &amp; Build A SUCCESSFUL Relationship | Esther Perel &amp; Lewis Howes" 1369785 26590 927 1324
"4" 2016-02-08 "Russell Simmons on Living Vegan and Changing the World - with Lewis Howes" 45198 919 26 132
"5" 2016-02-10 "The Starmaker: 7 Strategies to Empower People Around You to Shine - with Lewis Howes" 13608 281 1 19
"6" 2016-02-22 "Dr Mark Hyman on Eating Fat to Get Healthy - with Lewis Howes" 387800 6333 376 601
"7" 2016-02-24 "Joe Polish on The Keys to Marketing Your Business - with Lewis Howes" 26932 706 13 60
"8" 2016-02-29 "Jack Canfield on How to Break an Addiction in 30 Days - with Lewis Howes" 66505 995 38 96
"9" 2016-03-02 "Dan Harris on the Power of Meditating for Skeptics - with Lewis Howes" 67046 955 35 84
"10" 2016-03-07 "The ULTIMATE Advice EVERY ENTREPRENEUR Needs To Hear | Gary Vee &amp; Lewis Howes" 258692 3801 143 247
"11" 2016-03-14 "Shawn Stevenson on 10 Ways to Sleep Better Tonight - with Lewis Howes" 162161 3073 92 152
"12" 2016-03-15 "Shawn Stevenson Checks Lewis Howes Bedroom for Sleep Hacks" 20097 388 13 20
"13" 2016-03-21 "Tim Storey on Overcoming Huge Obstacles - Lewis Howes" 50245 883 36 59
"14" 2016-03-22 "Let Envy Be Your Teacher" 8811 273 6 18
"15" 2016-03-28 "Tracy McMillan on Why Relationships Are Meant to Trigger Us with Lewis Howes" 195917 3553 120 193
"16" 2016-03-30 "The Power of Meditation with Andy Puddicombe and Lewis Howes" 145556 2325 52 151
"17" 2016-04-01 "Choose Love Instead of Fear with Melissa Ambrosini" 7452 189 6 14
"18" 2016-04-04 "Tony Robbins REVEALS The Mindset &amp; Success Habits For BUILDING WEALTH | Lewis Howes" 791938 12179 311 1412
"19" 2016-04-06 "Chris Guillebeau on How to Move Forward Without a Plan with Lewis Howes" 38888 755 20 144
